year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,date
2025,1,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",567.0,108.0,41.69,4.0,35.75,0.0,26.57,31.0,1.0,6862.0,2659.0,345.0,1304.0,0.0,2554.0,0.19047619047619047,2025-01-01
2025,1,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",721.0,153.0,56.51,1.51,53.71,0.0,41.27,15.0,0.0,7991.0,3521.0,84.0,1941.0,0.0,2445.0,0.21220527045769763,2025-01-01
2025,1,UA,United Air Lines Network,BNA,"Nashville, TN: Nashville International",425.0,67.0,26.8,0.18,20.58,0.0,19.43,14.0,0.0,4469.0,1530.0,6.0,813.0,0.0,2120.0,0.15764705882352942,2025-01-01
2025,1,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",919.0,114.0,42.62,11.98,24.46,0.0,34.93,12.0,0.0,6592.0,2485.0,569.0,1008.0,0.0,2530.0,0.12404787812840043,2025-01-01
2025,1,UA,United Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",256.0,43.0,17.12,1.34,12.42,0.0,12.12,10.0,0.0,2205.0,803.0,90.0,455.0,0.0,857.0,0.16796875,2025-01-01
2025,1,UA,United Air Lines Network,CLT,"Charlotte, NC: Charlotte Douglas International",217.0,45.0,10.15,0.0,24.3,0.0,10.56,2.0,2.0,1907.0,578.0,0.0,848.0,0.0,481.0,0.2073732718894009,2025-01-01
2025,1,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",470.0,68.0,18.8,3.14,29.44,0.0,16.62,28.0,4.0,3328.0,693.0,156.0,1042.0,0.0,1437.0,0.14468085106382977,2025-01-01
2025,1,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",8459.0,1625.0,456.81,58.41,653.67,0.0,456.11,104.0,8.0,104986.0,31436.0,6070.0,27702.0,0.0,39778.0,0.19210308547109586,2025-01-01
2025,1,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",748.0,132.0,42.3,1.91,54.59,0.0,33.2,32.0,5.0,8983.0,2218.0,315.0,3154.0,0.0,3296.0,0.17647058823529413,2025-01-01
2025,1,UA,United Air Lines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",210.0,37.0,17.52,0.0,7.1,0.0,12.38,4.0,0.0,1762.0,627.0,0.0,277.0,0.0,858.0,0.1761904761904762,2025-01-01
