year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,1,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",567.00,108.00,41.69,4.00,35.75,0.00,26.57,31.00,1.00,6862.00,2659.00,345.00,1304.00,0.00,2554.00
2025,1,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",721.00,153.00,56.51,1.51,53.71,0.00,41.27,15.00,0.00,7991.00,3521.00,84.00,1941.00,0.00,2445.00
2025,1,UA,United Air Lines Network,BNA,"Nashville, TN: Nashville International",425.00,67.00,26.80,0.18,20.58,0.00,19.43,14.00,0.00,4469.00,1530.00,6.00,813.00,0.00,2120.00
2025,1,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",919.00,114.00,42.62,11.98,24.46,0.00,34.93,12.00,0.00,6592.00,2485.00,569.00,1008.00,0.00,2530.00
2025,1,UA,United Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",256.00,43.00,17.12,1.34,12.42,0.00,12.12,10.00,0.00,2205.00,803.00,90.00,455.00,0.00,857.00
2025,1,UA,United Air Lines Network,CLT,"Charlotte, NC: Charlotte Douglas International",217.00,45.00,10.15,0.00,24.30,0.00,10.56,2.00,2.00,1907.00,578.00,0.00,848.00,0.00,481.00
2025,1,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",470.00,68.00,18.80,3.14,29.44,0.00,16.62,28.00,4.00,3328.00,693.00,156.00,1042.00,0.00,1437.00
2025,1,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",8459.00,1625.00,456.81,58.41,653.67,0.00,456.11,104.00,8.00,104986.00,31436.00,6070.00,27702.00,0.00,39778.00
2025,1,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",748.00,132.00,42.30,1.91,54.59,0.00,33.20,32.00,5.00,8983.00,2218.00,315.00,3154.00,0.00,3296.00
2025,1,UA,United Air Lines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",210.00,37.00,17.52,0.00,7.10,0.00,12.38,4.00,0.00,1762.00,627.00,0.00,277.00,0.00,858.00
